stimuli	p
it's possible, but generally i guess i'd say no 	40
possibly but it's doubtful	41
possibly, yes	62
yes, that's right	89
i would say yes	65
possibly	31
not definitely	65
yes	97
not possibly	33
probably	16
I don't think so	8
mostly	32
certainly	96
rarely	89
not usually	55
probably not	34
in general no	27
possibly not	20
definitely not	97
perhaps	20
it can be but not necessarily	57
yes, definitely	98
YESSSSS!!!!! :):)	98
yes, that's right	94
perhaps	100
sometimes	100
nope	0
no	0
yep	100
I think so	97
definitely	100
generally	98
it depends	100
sort of	0
usually	100
not possibly	0
in general yes	100
certainly not	0
probably not	0
not exactly	0
in general no	0
yes, it can be	100
yes to some extent	100
yes at least possibly	100
eh... yes, you could say so. 	26
eh... yes, you could say so. 	100
no, it can be but not necessarily	57
it can be but not necessarily	0
yes!	89
depends	100
hmm not exactly... (but again one could) 	24
yes in general	100
could be both yes and no	24
NO!	0
yes, in general	100
almost	100
no, not normally	0
I'm going to say yes	100
:) not sure, maybe	100
not really	0
no, not usuallly	0
yes definitely	100
I don't think so	0
yes usually	100
I think so kind of	0
in general, no	29
possibly	100
not that much	100
yes but not necessarily	100
yes I suppose	100
yup	100
yes, definitely	100
could be but not necessarily	100
that's a hard one... I guess not really	0
no	91
kind of	100
kind of	26
yes	100
depends	22
nono	77
definitely	100
not possibly	2
in general no	15
sort of	60
mostly	76
definitely not	1
no	0
not usually	12
usually not	17
possibly not	25
probably not	21
certainly not	2
perhaps	69
it depends	67
not probably	31
I think so	64
no not necessarily at least	22
usually, yes	78
no it doesn't really relate	14
maybe	68
it can be but not necessarily	66
usually	76
not necessarily	22
:) not sure, maybe	66
NO!	1
yes, it could	82
yes in general	79
I'm going to say yes	98
no not exactly	27
no, not generally	14
I don't think so	21
i would say yes	83
kind of	63
I think so kind of	63
generally	77
yes, it can be	85
in general, no	28
yes at least possibly	69
yes i would assume so yes 	39
Uhm not necessarily	22
YES!!!	100
maybe	19
depends	59
nope	56
hmm not exactly... (but again one could) 	59
nope	3
no it doesn't really relate	61
yes definitely	99
no not really	8
yes, very likely	63
eh... yes, you could say so. 	77
yup	83
possibly but it's doubtful	40
generally	56
i would say yes	62
Uhm not necessarily	12
mostly not	55
not necessarily	27
yes, it is possible	76
no not necessarily but could be	25
no, not generally	66
definitely	82
definitely not	100
yep	89
usually	31
perhaps	54
certainly	87
not probably	81
generally	19
probably not	90
sometimes	38
not possibly	46
I don't think so	67
it depends	60
I don't think so	80
possibly not	56
not usually	62
I think so	43
generally	72
it's possible, but generally i guess i'd say no 	44
definitely	100
yes at least possibly	53
yes	97
yes!	99
yes!!	99
perhaps	37
yea	92
sometimes	58
not quite	60
yes, I think so	68
no not necessarily but could be	38
nope	93
in general, no	68
Uhm not necessarily	64
could be but not necessarily	54
not really	57
hmm, I'd say yes in general 	68
yes it can be	66
possibly but it's doubtful	35
yes, it is possible	54
almost	23
no, not generally	61
not exactly	31
usually, yes	67
probably	58
yes!!!	95
could be both yes and no	0
no	100
i would say yes	100
sometimes	60
not that much	60
possibly	46
no, not at all	98
in general no	64
possibly not	66
NO!	100
no, not usuallly	57
in general yes	58
generally	71
mostly	71
it depends	53
I don't think so	16
probably not	8
yes	99
definitely	100
perhaps	39
yep	95
not possibly	56
not certainly	23
that's a hard one... I guess not really	41
kind of	54
yes!!	50
yes!!!	100
I think so...	89
could be but not necessarily	40
nono	15
yes, in general	80
no not necessarily but could be	45
yes, definitely	99
maybe	44
not quite	36
sort of	63
not necessarily	44
almost	41
no not necessarily at least	51
no not exactly	27
no in general	31
yes at least possibly	62
yes in general	80
yes, it is possible	54
NO!	0
hmm, I'd say yes in general 	66
yes!	99
it's possible, but generally i guess i'd say no 	38
no, not usuallly	17
could be both yes and no	45
no not really	15
I'm going to say yes	63
I think so kind of	80
not really	10
not that much	54
yes, it can be	66
not possibly	82
probably not	79
perhaps	40
not certainly	85
generally	76
yep	31
certainly	74
possibly not	75
sometimes	82
sort of	1
not probably	90
I think so	89
in general yes	79
definitely	100
definitely not	89
no not necessarily but could be	22
possibly but it's doubtful	32
yes but not necessarily	78
yes, it is possible	84
kind of	80
hmm, I'd say yes in general 	90
no not necessarily at least	28
not really	81
maybe	89
no, not normally	22
no it doesn't really relate	89
no	100
yes I suppose	100
it's possible, but generally i guess i'd say no 	76
no, not usuallly	81
generally yes, but not necessarily	83
yes in general	83
could be both yes and no	49
yes at least possibly	86
no not really	74
possibly, yes	90
yes it can be	79
hmm not exactly... (but again one could) 	29
yes usually	28
yes	83
i would say yes	18
rarely	73
usually not	17
yes, that's right	88
definitely	90
not usually	28
not exactly	20
probably	66
nope	17
probably	75
yes	79
not probably	60
definitely not	3
perhaps	53
in general no	17
not usually	16
possibly	61
mostly	67
possibly	75
possibly not	10
probably	72
yup	14
I think so	74
usually	63
I don't think so	24
in general no	16
yep	77
in general yes	63
not possibly	33
sometimes	57
yes, I think so	83
no, not generally	14
not quite	24
YESSSSS!!!!! :):)	99
no not exactly	13
it can be but not necessarily	55
no, it can be but not necessarily	39
almost	67
yep	62
yes, definitely	93
probably not	33
not possibly	78
yes, it can be	74
it depends	69
NO!	1
possibly not	29
depends	50
sort of	15
Uhm not necessarily	19
I'm going to say yes	73
yes, it is possible	80
yes at least possibly	68
no, not at all	6
usually, yes	74
hmm, I'd say yes in general 	73
possibly	14
it can be but not necessarily	36
it's possible, but generally i guess i'd say no 	22
yes usually	83
yup	87
I think so kind of	64
yes definitely	83
not really	19
YES!!!	89
no	5
yes, very likely	85
:) not sure, maybe	65
i would say yes	71
yes it can be	73
YES!!!	96
it's possible, but generally i guess i'd say no 	59
YESSSSS!!!!! :):)	71
I'm going to say yes	69
yes usually	36
yes!!	64
yes, in general	24
almost	36
mostly not	64
hmm, I'd say yes in general 	39
Uhm not necessarily	29
NO!	74
eh... yes, you could say so. 	19
no, not necessarily	22
yes at least possibly	30
I think so...	26
yes I suppose	24
nono	15
no it doesn't really relate	25
yes, very likely	76
yes definitely	100
yes it can be	22
no in general	36
yes	100
yes in general	38
no not exactly	70
no not necessarily but could be	25
yes, it could	30
ah...hmmmm.... i guess i have to say no... 	26
no, not normally	31
depends	30
I don't think so	70
yes	100
usually not	64
sometimes	5
certainly	94
I think so	73
probably	57
no	100
mostly	59
probably not	7
nope	100
it depends	9
possibly not	31
not probably	0
in general yes	100
no, not normally	100
perhaps	64
could be but not necessarily	24
yes, in general	100
yes in general	100
yes!!!	100
not necessarily	0
no in general	100
NO!	100
possibly but it's doubtful	0
no not necessarily at least	25
it can be but not necessarily	0
generally	70
no, not usuallly	69
yes definitely	100
generally yes, but not necessarily	61
no not really	97
not usually	21
yes it can be	86
kind of	14
depends	4
maybe	13
no, not generally	66
possibly	0
no, it can be but not necessarily	27
no not exactly	87
definitely	100
no, not at all	100
ah...hmmmm.... i guess i have to say no... 	63
usually, yes	67
usually	63
nope	24
not certainly	33
not probably	73
probably	89
certainly not	15
probably not	17
definitely	93
mostly	84
generally	24
not possibly	21
rarely	81
usually	59
no	51
perhaps	89
it depends	100
yes, that's right	22
no not really	17
yes!!!	97
kind of	0
yes usually	91
yea	16
no, not usuallly	17
yes, definitely	12
I don't think so	0
generally yes, but not necessarily	24
yes in general	72
I think so	14
hmm, I'd say yes in general 	76
NO!	85
I think so kind of	13
yes I suppose	11
not quite	100
eh... yes, you could say so. 	18
yes, it is possible	70
possibly, yes	50
I think so...	28
possibly	97
yes, it could	75
i would say yes	25
almost	49
yes, in general	60
yes definitely	61
YESSSSS!!!!! :):)	100
could be both yes and no	90
Uhm not necessarily	86
no, not at all	14
maybe	82
yes!	100
I'm going to say yes	86
yep	100
possibly	58
no	0
it depends	50
not definitely	53
rarely	78
rarely	17
probably not	10
it depends	59
not possibly	3
generally	78
certainly not	0
probably not	40
in general yes	95
sort of	57
yes	99
usually not	17
I think so	61
definitely not	0
possibly not	38
sometimes	54
NO!	0
certainly not	1
yes, very likely	88
I don't think so	18
usually, yes	68
not probably	34
hmm, I'd say yes in general 	71
yes to some extent	59
not possibly	20
not usually	26
yes!!	100
generally	55
not exactly	20
sometimes	72
ah...hmmmm.... i guess i have to say no... 	36
definitely not	0
not really	34
YESSSSS!!!!! :):)	100
yep	100
yes I suppose	72
possibly	74
yes, it could	61
yes it can be	63
mostly not	27
YES!!!	100
yes definitely	100
I'm going to say yes	68
yes!	100
definitely	100
definitely	100
not that much	31
yes, it is possible	54
yes, it can be	61
no not exactly	37
could be but not necessarily	57
perhaps	50
:) not sure, maybe	50
not necessarily	29
yes, definitely	100
yes in general	67
yes definitely	100
NO!	0
no not necessarily but could be	45
Uhm not necessarily	19
not necessarily	43
I don't think so	21
no in general	31
yes usually	79
not exactly	18
generally yes, but not necessarily	61
no, not necessarily	38
no in general	17
generally yes, but not necessarily	72
probably	71
yes at least possibly	68
yes, that's right	100
usually, yes	84
yes but not necessarily	71
yes, it can be	81
no not necessarily but could be	14
not really	21
YESSSSS!!!!! :):)	100
ah...hmmmm.... i guess i have to say no... 	35
yes!	100
hmm, I'd say yes in general 	78
hmm not exactly... (but again one could) 	19
yes usually	90
possibly but it's doubtful	42
no not exactly	20
:) not sure, maybe	51
yea	99
yes in general	85
certainly not	1
possibly	50
not certainly	27
not possibly	2
usually	65
certainly	100
yep	89
definitely not	2
sometimes	50
generally	72
I don't think so	29
probably	76
definitely	100
probably not	18
sort of	49
it's possible, but generally i guess i'd say no 	37
NO!	0
no not necessarily at least	37
yes, it can be	63
i would say yes	100
I think so kind of	61
yes usually	82
usually, yes	75
YES!!!	100
yes to some extent	60
yes in general	76
yes i would assume so yes 	60
not usually	23
in general no	19
yes, it could	62
yes, it is possible	63
Uhm not necessarily	29
yes, very likely	77
hmm, I'd say yes in general 	69
hmm not exactly... (but again one could) 	39
yes!!	100
could be both yes and no	50
no not necessarily but could be	42
yes!	100
I'm going to say yes	73
yes	100
nope	1
depends	51
could be but not necessarily	57
kind of	50
no it doesn't really relate	17
yes, in general	81
not possibly	100
rarely	0
nope	0
possibly not	87
yes	100
probably not	100
I think so	100
definitely	1
certainly not	100
usually	100
possibly	50
mostly	0
I don't think so	0
generally	100
sometimes	100
kind of	100
nono	0
mostly not	0
no it doesn't really relate	0
no in general	0
yes at least possibly	100
perhaps	78
not usually	0
NO!	0
could be both yes and no	67
in general, no	19
I think so kind of	100
yes in general	100
no, not normally	12
probably	100
ah...hmmmm.... i guess i have to say no... 	0
yes, I think so	100
yes, it can be	100
not that much	0
possibly, yes	100
no not really	0
yes i would assume so yes 	100
hmm not exactly... (but again one could) 	0
yes, that's right	100
no	0
yes to some extent	100
yes it can be	100
yes I suppose	100
no, not generally	0
it's possible, but generally i guess i'd say no 	53
no, it can be but not necessarily	18
that's a hard one... I guess not really	28
yes	36
not definitely	32
possibly not	26
in general yes	76
usually	70
I don't think so	18
rarely	26
yep	77
definitely	85
in general no	11
probably not	21
mostly	73
not certainly	53
certainly not	32
certainly	69
:) not sure, maybe	68
yes, it can be	82
yes, it could	70
eh... yes, you could say so. 	70
yes!!	95
no it doesn't really relate	8
I think so...	72
nono	18
nope	16
yes i would assume so yes 	88
no, not normally	31
no	8
it can be but not necessarily	68
yes, definitely	91
I think so	69
possibly, yes	74
no not necessarily at least	68
depends	68
sometimes	71
yes at least possibly	75
yes, in general	72
I'm going to say yes	72
NO!	12
that's a hard one... I guess not really	31
hmm not exactly... (but again one could) 	30
yes in general	78
not that much	28
yes, I think so	78
yes, very likely	78
no not really	26
not necessarily	17
yes I suppose	73
no, it can be but not necessarily	25
yep	82
sometimes	50
not definitely	76
in general yes	60
sometimes	50
definitely not	0
not probably	24
not definitely	63
not possibly	22
certainly	100
I think so	83
nope	5
I think so	89
rarely	12
not probably	20
it depends	50
usually	92
probably	74
possibly not	63
nope	6
probably	91
usually not	4
definitely not	15
no	0
in general yes	95
no, not usuallly	8
certainly	90
no, not generally	29
I don't think so	30
yes!	100
not certainly	27
could be but not necessarily	63
it depends	50
hmm, I'd say yes in general 	71
no, not at all	0
mostly	77
yea	95
eh... yes, you could say so. 	56
yes, I think so	72
hmm not exactly... (but again one could) 	63
yes usually	80
:) not sure, maybe	60
I think so...	80
definitely	100
sort of	61
no it doesn't really relate	21
yes in general	72
YESSSSS!!!!! :):)	98
yes in general	74
usually	73
generally	73
yes!!!	92
generally yes, but not necessarily	88
generally	82
yes usually	91
yes definitely	95
yes, definitely	100
no not necessarily at least	30
no, it can be but not necessarily	64
not usually	6
not exactly	64
yup	92
yes, in general	83
NO!	0
no not really	33
could be both yes and no	50
depends	50
not necessarily	14
yes	92
YES!!!	100
in general no	7
not that much	59
no not necessarily at least	41
no not necessarily but could be	41
yes, I think so	85
no	5
nono	2
yes it can be	84
in general no	56
hmm not exactly... (but again one could) 	44
eh... yes, you could say so. 	61
I'm going to say yes	62
not quite	42
possibly but it's doubtful	36
not usually	30
i would say yes	62
ah...hmmmm.... i guess i have to say no... 	38
no, not necessarily	32
yes, in general	72
not necessarily	24
yes but not necessarily	58
could be both yes and no	50
yes, definitely	94
yea	86
nope	99
probably not	88
definitely not	37
probably	78
not possibly	27
I think so	73
usually not	23
rarely	23
yes	96
in general no	73
perhaps	80
I don't think so	97
not usually	76
sometimes	73
generally	21
no not necessarily but could be	8
definitely	98
no, it can be but not necessarily	25
no it doesn't really relate	74
usually, yes	93
yes I suppose	97
no not exactly	88
I think so...	2
yes!	99
no in general	15
yes to some extent	88
yes, definitely	95
possibly, yes	90
yes i would assume so yes 	87
not necessarily	73
yes!!	97
maybe	17
hmm, I'd say yes in general 	75
YES!!!	99
depends	32
not really	51
no, not generally	58
no, not normally	61
no, not necessarily	62
in general, no	79
YESSSSS!!!!! :):)	100
yes in general	81
eh... yes, you could say so. 	25
not that much	25
i would say yes	81
yes, I think so	76
definitely	98
not definitely	10
yep	87
usually not	9
nope	6
in general no	17
yes	94
in general yes	82
usually	76
sometimes	55
I don't think so	32
not usually	22
possibly	59
I think so	76
rarely	45
certainly	100
certainly not	5
nono	35
yes!!	100
eh... yes, you could say so. 	68
definitely	97
no not necessarily but could be	43
possibly, yes	68
yes	98
yes!	99
certainly	97
not really	24
possibly	67
possibly but it's doubtful	40
no, not usuallly	39
generally	83
yes to some extent	74
not usually	12
yes, in general	73
NO!	0
:) not sure, maybe	50
nope	1
hmm, I'd say yes in general 	64
perhaps	55
possibly not	18
i would say yes	60
no	1
no, not necessarily	32
ah...hmmmm.... i guess i have to say no... 	48
I don't think so	16
could be both yes and no	50
yes, that's right	93
not definitely	57
yes, it can be	79
yes at least possibly	65
probably	80
I think so	63
definitely not	1
no, not generally	28
yes usually	87
yes definitely	97
yes but not necessarily	74
I think so kind of	70
hmm not exactly... (but again one could) 	50
no, it can be but not necessarily	39
no, not at all	0
no not necessarily but could be	60
generally	77
yes, it could	74
yes, very likely	93
no not necessarily at least	35
i would say yes	87
possibly, yes	68
ah...hmmmm.... i guess i have to say no... 	7
Uhm not necessarily	33
YESSSSS!!!!! :):)	98
mostly not	13
no in general	12
yes, definitely	98
yes in general	86
no, not at all	3
yes at least possibly	68
I think so...	62
NO!	1
not really	19
yes!!!	98
sometimes	65
it can be but not necessarily	77
no, not generally	9
yes I suppose	75
hmm, I'd say yes in general 	79
yea	98
yes, it can be	67
no, not necessarily	12
no not really	12
yes it can be	75
not definitely	55
it depends	51
rarely	38
certainly not	0
probably	76
generally	85
I don't think so	25
definitely	100
sort of	64
not certainly	13
not probably	28
in general no	22
yep	89
mostly	92
not usually	16
it can be but not necessarily	66
yes, I think so	83
YESSSSS!!!!! :):)	99
yes, that's right	99
no, not usuallly	6
not necessarily	32
no, not at all	2
yes, definitely	99
perhaps	72
yes I suppose	81
it's possible, but generally i guess i'd say no 	33
no, not generally	6
maybe	51
yes definitely	100
I'm going to say yes	77
possibly but it's doubtful	38
yes, in general	90
yes i would assume so yes 	81
eh... yes, you could say so. 	74
sometimes	52
I think so	71
yes it can be	83
almost	63
depends	51
yes, it could	92
not that much	50
YES!!!	100
no, it can be but not necessarily	36
yes, very likely	93
possibly	85
usually	77
nope	2
yes at least possibly	75
I don't think so	0
usually	52
in general no	11
yep	95
definitely	100
certainly not	0
not definitely	33
sort of	60
certainly	100
it depends	51
perhaps	52
possibly not	20
probably not	13
not certainly	23
yes	100
yes, in general	74
eh... yes, you could say so. 	77
no, not usuallly	9
generally	72
I think so kind of	61
probably	63
YESSSSS!!!!! :):)	100
yes, I think so	77
no, not generally	9
nono	0
Uhm not necessarily	26
depends	47
no it doesn't really relate	5
could be but not necessarily	52
no not exactly	13
yes, it is possible	92
ah...hmmmm.... i guess i have to say no... 	8
not necessarily	22
I think so...	97
yes, it could	100
yes, that's right	100
yes, it can be	100
not exactly	10
yes but not necessarily	56
yup	93
yes!!!	100
no not necessarily but could be	44
no in general	9
no	0
yes i would assume so yes 	88
maybe	51
yes!!	100
no not necessarily at least	30
perhaps	69
possibly not	36
it depends	50
yes	100
probably	86
possibly	62
definitely not	50
usually	88
sometimes	50
definitely	100
I think so	90
rarely	6
certainly not	0
in general no	10
probably not	12
I think so...	80
nope	0
usually, yes	89
possibly, yes	86
yes!	100
certainly	100
definitely not	0
in general yes	59
certainly not	0
possibly	45
sort of	53
not definitely	46
mostly	71
it depends	47
yep	81
definitely	100
in general no	12
perhaps	49
possibly not	35
no	1
not that much	40
almost	88
yes i would assume so yes 	77
no, not necessarily	33
nope	6
no, it can be but not necessarily	29
no it doesn't really relate	28
Uhm not necessarily	25
yes, definitely	100
no, it can be but not necessarily	23
could be but not necessarily	33
yes, I think so	87
no, not normally	11
no not necessarily at least	27
sort of	55
not exactly	38
it can be but not necessarily	33
ah...hmmmm.... i guess i have to say no... 	32
yes it can be	65
yes I suppose	92
I think so	78
no in general	15
sometimes	45
yes but not necessarily	68
yes to some extent	68
not quite	30
it can be but not necessarily	43
not really	32
depends	50
it's possible, but generally i guess i'd say no 	28
could be both yes and no	46
yes at least possibly	73
YESSSSS!!!!! :):)	100
yes, that's right	86
YES!!!	100
yes usually	93
yes I suppose	77
yes, it is possible	72
YESSSSS!!!!! :):)	50
usually	58
generally yes, but not necessarily	57
yea	84
no not really	7
no not necessarily but could be	33
maybe	50
no, not at all	0
yes in general	89
yes, definitely	100
yes, it can be	79
yea	86
usually, yes	91
generally yes, but not necessarily	65
yes usually	88
YES!!!	100
i would say yes	90
hmm not exactly... (but again one could) 	47
not really	21
in general, no	12
I don't think so	5
not probably	13
probably	98
not usually	2
yep	45
certainly	91
not certainly	99
definitely	1
possibly not	74
usually not	45
usually	14
I think so	86
mostly	37
possibly	92
in general no	6
not definitely	1
no not exactly	29
possibly, yes	79
yes but not necessarily	71
no not really	27
yes!!	98
I think so...	99
almost	66
could be both yes and no	50
yes, it can be	83
not really	32
usually, yes	91
not necessarily	26
yes i would assume so yes 	83
yes usually	86
yes I suppose	83
yup	98
Uhm not necessarily	7
yes, in general	99
kind of	86
yea	98
yes	98
could be but not necessarily	44
YES!!!	97
nono	2
yes, I think so	87
ah...hmmmm.... i guess i have to say no... 	0
yes it can be	84
no not necessarily at least	1
it's possible, but generally i guess i'd say no 	2
perhaps	54
sometimes	50
possibly not	26
probably	79
certainly not	0
probably not	16
definitely not	0
not possibly	0
not probably	12
in general yes	100
in general no	19
possibly	84
not certainly	19
not definitely	39
yep	99
YES!!!	100
hmm not exactly... (but again one could) 	50
YESSSSS!!!!! :):)	100
maybe	54
I think so...	73
hmm, I'd say yes in general 	93
not really	14
yes!!	100
depends	49
yes, it is possible	78
yes, it could	76
possibly but it's doubtful	50
yes, it can be	78
it can be but not necessarily	50
no not really	0
yes, that's right	100
yes, I think so	84
no, it can be but not necessarily	30
yes, very likely	82
yes but not necessarily	73
no it doesn't really relate	4
yea	92
yes definitely	100
no, not at all	0
NO!	0
in general, no	8
i would say yes	92
nono	0
no not exactly	4
definitely	100
generally	49
not necessarily	15
yes	100
usually	93
not definitely	93
not probably	3
in general no	76
nope	95
rarely	93
possibly	98
perhaps	100
it depends	100
certainly	100
certainly not	96
possibly not	99
no	100
probably not	99
not usually	77
sometimes	96
not that much	100
I think so	100
nono	4
yes usually	100
yes	100
YESSSSS!!!!! :):)	100
yes but not necessarily	94
yes, that's right	96
could be but not necessarily	33
maybe	62
not necessarily	69
yes, it could	86
not really	91
could be both yes and no	95
I'm going to say yes	83
yes, I think so	87
yes in general	87
no not really	89
probably	100
I think so...	94
no, it can be but not necessarily	12
possibly but it's doubtful	66
depends	17
almost	13
yes, very likely	87
yes at least possibly	15
possibly, yes	82
yes!!	98
eh... yes, you could say so. 	67
I don't think so	91
hmm, I'd say yes in general 	83
definitely not	48
possibly	69
not probably	40
nope	27
yes	89
not usually	23
not definitely	23
definitely	90
I don't think so	33
not possibly	22
perhaps	60
probably not	27
in general no	34
sometimes	48
usually	75
yes, I think so	70
ah...hmmmm.... i guess i have to say no... 	21
usually, yes	64
no in general	23
YESSSSS!!!!! :):)	90
yes to some extent	53
generally yes, but not necessarily	52
yes but not necessarily	50
yes definitely	88
I'm going to say yes	72
not necessarily	22
yes, it could	71
yea	69
yes i would assume so yes 	69
possibly but it's doubtful	34
not that much	27
no, not generally	25
no not necessarily at least	27
eh... yes, you could say so. 	65
yes in general	69
yes	50
no, not normally	28
it's possible, but generally i guess i'd say no 	34
yes it can be	58
yep	20
no, not necessarily	19
certainly not	50
no, not at all	23
could be but not necessarily	36
possibly	50
hmm, I'd say yes in general 	68
not definitely	50
nope	50
no not exactly	29
not certainly	49
usually not	68
sometimes	50
no	50
Uhm not necessarily	23
generally	71
nope	14
certainly not	0
yes, that's right	71
not probably	17
probably not	46
in general yes	81
in general no	58
definitely not	15
not probably	13
not possibly	76
perhaps	66
definitely not	91
I don't think so	28
possibly not	12
certainly	70
definitely	95
certainly	63
no	0
probably not	82
yes	100
certainly not	16
generally	80
probably not	20
it depends	100
not possibly	44
not possibly	39
mostly	23
not usually	42
not definitely	34
not usually	0
rarely	7
sometimes	65
I don't think so	100
nope	0
yep	92
yes	60
usually	72
yes!!!	0
no not exactly	9
certainly	91
I think so kind of	1
I think so...	65
possibly not	26
eh... yes, you could say so. 	12
possibly, yes	63
mostly	57
definitely	99
sort of	52
yes, in general	86
probably	58
yes usually	23
no, not normally	11
no, not generally	69
yes, it is possible	83
could be both yes and no	49
sort of	65
in general, no	3
NO!	59
sort of	32
yes	98
not quite	44
yes, very likely	91
yes, it can be	61
usually, yes	85
ah...hmmmm.... i guess i have to say no... 	0
no, it can be but not necessarily	50
could be but not necessarily	67
that's a hard one... I guess not really	44
yup	35
it can be but not necessarily	46
no not necessarily at least	45
yes, very likely	61
that's a hard one... I guess not really	35
yes, definitely	98
yes, very likely	93
yes, I think so	58
YESSSSS!!!!! :):)	100
no not really	59
eh... yes, you could say so. 	54
yes but not necessarily	90
no, not normally	13
perhaps	52
nono	30
no not necessarily at least	77
YES!!!	99
no, not necessarily	37
:) not sure, maybe	5
no, not necessarily	24
yes I suppose	0
yes, it could	63
yes to some extent	84
yes i would assume so yes 	65
yes, definitely	71
I think so...	52
no in general	79
not usually	32
yes!	98
not exactly	61
yes to some extent	74
generally yes, but not necessarily	66
no not really	19
possibly but it's doubtful	68
yes in general	71
yes it can be	75
hmm, I'd say yes in general 	70
NO!	0
yes it can be	61
in general no	22
no not really	36
no it doesn't really relate	63
not really	37
no, not at all	64
hmm not exactly... (but again one could) 	46
probably	85
no, not usuallly	40
hmm not exactly... (but again one could) 	54
generally yes, but not necessarily	15
YESSSSS!!!!! :):)	100
possibly	33
no in general	32
yes usually	68
YESSSSS!!!!! :):)	0
yes, that's right	68
ah...hmmmm.... i guess i have to say no... 	38
I think so	60
not quite	42
yes it can be	65
yes i would assume so yes 	65
hmm, I'd say yes in general 	60
yes in general	82
not necessarily	31
mostly not	4
yes I suppose	70
could be but not necessarily	41
depends	49
I think so	61
maybe	53
ah...hmmmm.... i guess i have to say no... 	22
in general, no	35
generally	58
no not necessarily but could be	43
yes	50
probably	70
I don't think so	21
yep	84
usually not	38
possibly	63
I think so	61
definitely not	5
no	3
in general no	33
definitely	95
certainly	100
in general yes	66
mostly	58
perhaps	52
sometimes	50
YESSSSS!!!!! :):)	92
mostly not	32
generally yes, but not necessarily	50
kind of	50
yes!	87
yes, it is possible	60
hmm not exactly... (but again one could) 	50
possibly, yes	55
no, not generally	33
nope	8
yes to some extent	63
yes but not necessarily	60
maybe	47
Uhm not necessarily	28
yes I suppose	67
not necessarily	31
yes, I think so	68
yes, it could	71
not that much	36
NO!	2
yes!!!	99
sort of	50
no not necessarily but could be	50
:) not sure, maybe	50
yup	68
no, it can be but not necessarily	42
possibly but it's doubtful	60
it's possible, but generally i guess i'd say no 	57
yes, very likely	70
yes it can be	68
no it doesn't really relate	33
not quite	24
yes!!	82
probably not	95
rarely	95
nope	10
yes	95
possibly	100
usually	25
probably	88
perhaps	100
not probably	78
generally	7
not usually	59
I think so	40
not possibly	86
certainly	7
I don't think so	77
not that much	9
yes!!	49
no not exactly	53
yes, very likely	45
sort of	55
not necessarily	92
possibly but it's doubtful	33
could be both yes and no	85
no not necessarily but could be	83
yes, I think so	16
yes it can be	15
yes I suppose	14
YESSSSS!!!!! :):)	13
it's possible, but generally i guess i'd say no 	76
hmm, I'd say yes in general 	14
yes, it could	78
that's a hard one... I guess not really	12
kind of	80
I think so kind of	85
i would say yes	24
I think so...	78
yes!!!	14
hmm not exactly... (but again one could) 	75
no	12
yup	37
no, not necessarily	80
I'm going to say yes	6
no, not at all	27
NO!	13
depends	83
yes definitely	4
yea	0
no, not usuallly	25
yep	88
probably not	15
perhaps	51
mostly	70
not certainly	28
generally	85
no	0
usually	70
sometimes	50
I don't think so	4
possibly	65
usually not	11
yes	100
probably	86
not definitely	4
that's a hard one... I guess not really	36
yes, I think so	92
could be but not necessarily	59
eh... yes, you could say so. 	72
not exactly	21
usually, yes	86
no it doesn't really relate	3
I'm going to say yes	96
yes to some extent	80
mostly not	8
no not really	8
it can be but not necessarily	20
not that much	15
I don't think so	87
yes, definitely	100
not definitely	0
in general yes	0
ah...hmmmm.... i guess i have to say no... 	21
in general no	0
kind of	62
probably not	99
yep	100
certainly	100
certainly not	100
yes!!!	100
not probably	0
I think so kind of	72
definitely	88
perhaps	100
yes it can be	86
not possibly	0
probably	61
:) not sure, maybe	50
sort of	75
could be both yes and no	50
probably	91
not really	14
usually not	98
yes	76
yes, it can be	96
i would say yes	98
it's possible, but generally i guess i'd say no 	94
usually	78
yes, it could	96
definitely	22
yes!	100
generally	93
certainly not	75
no, not necessarily	4
I think so...	93
no, not at all	0
Uhm not necessarily	81
no not necessarily at least	10
yes	99
usually	74
almost	59
i would say yes	87
yes, it can be	91
yes!	98
hmm, I'd say yes in general 	28
nono	0
eh... yes, you could say so. 	98
yes it can be	86
usually not	20
it can be but not necessarily	15
rarely	58
yes at least possibly	24
no, not at all	86
not possibly	1
sort of	58
usually, yes	12
mostly	68
yep	77
not usually	34
that's a hard one... I guess not really	80
in general yes	85
yes, it is possible	92
probably not	14
not that much	78
definitely not	2
yes, definitely	88
could be but not necessarily	12
in general, no	78
not exactly	93
yes in general	87
ah...hmmmm.... i guess i have to say no... 	92
possibly, yes	86
yes, very likely	86
hmm not exactly... (but again one could) 	88
not usually	86
yes at least possibly	40
yes!	92
no	18
no, not at all	29
yes it can be	74
no, not generally	14
yes in general	75
yes!!	99
yes, it can be	69
not really	37
no, not necessarily	22
YES!!!	95
possibly	56
no not necessarily at least	24
yea	64
yes, it is possible	63
nope	35
not necessarily	18
could be but not necessarily	25
in general no	41
yes, I think so	67
generally	57
sometimes	57
yes, in general	61
no, not usuallly	39
yes, it could	59
Uhm not necessarily	38
possibly but it's doubtful	45
hmm, I'd say yes in general 	69
yes usually	65
yes i would assume so yes 	76
I think so kind of	69
I think so	61
probably	87
not possibly	37
yep	100
sort of	53
nope	6
certainly	79
